Country Name,Country Code,"Adjusted net enrollment rate, primary (% of primary school age children)",Age dependency ratio (% of working-age population),"Children out of school, primary",CPIA business regulatory environment rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),CPIA social protection rating (1=low to 6=high),Income share held by highest 10%,Income share held by lowest 10%,Net official development assistance and aid,Poverty headcount ratio at national poverty lines,Refugee population by country or territory of origin,Gross fixed capital formation (current US$),Gross savings (% of GDP)
"Gambia, The",GMB,69.74,93.49,89476,3.5,3.5,2.5,,,110800000,48.4,3434,187467496,25.8
Georgia,GEO,96.74,47.73,9082,5.5,3,4,30.89,1.9,652780000,14.8,6772,3542576229,19
Germany,DEU,99.57,52.04,12667,,,,24.41,3.3,,,175,737992729023,25.8
Ghana,GHA,89.64,72.23,399224,4.5,4,4,,,1330510000,24.2,21378,10912637897,20.7
Greece,GRC,99.75,52.25,1550,,,,26.19,2.18,,,92,27154950099,11.2
Greenland,GRL,,,,,,,,,,,,,
Grenada,GRD,,51.32,,4,4,3.5,,,10020000,,330,167774071,-5.9
Guam,GUM,,52.25,,,,,,,,,,,
Guatemala,GTM,91.41,81.76,203524,,,,41.83,1.34,494160000,53.7,6615,7693871474,11.8
Guinea,GIN,75.53,83.23,431051,2.5,3,2.5,26.49,3.13,499510000,55.2,14594,919650146,-17
Guinea-Bissau,GNB,70.79,79.65,70083,2.5,2.5,2,,,103620000,69.3,1236,,
Guyana,GUY,74.75,65.31,31760,3,2.5,3,,,101880000,,800,710536347,
Haiti,HTI,,65.22,,2.5,2.5,2,,,1170550000,58.5,38660,,23.1
Honduras,HND,90.1,65.78,110704,3,3.5,3,45.67,0.75,627600000,64.5,3301,4539504062,13.4
"Hong Kong SAR, China",HKG,99.25,34.63,2314,,,,,,,,25,65379041824,25.6
Hungary,HUN,96.66,46.82,12825,,,,23.11,3.19,,14.3,1220,26595355283,23.9
Iceland,ISL,98.14,50.38,558,,,,22.17,3.89,,,2,2314217003,20.4
India,IND,98.87,52.36,1387374,3,4,3.5,,,2435680000,21.9,11042,556648331306,31.8
Indonesia,IDN,95.29,51.77,1335753,,,,28.18,3.36,53330000,11.3,14786,274943807326,29
"Iran, Islamic Rep.",IRN,98.63,41.04,90968,,,,,,131320000,,75043,,
Iraq,IRQ,,76.22,,,,,23.7,3.68,1541400000,18.9,401417,35983197084,30.4
Ireland,IRL,99.74,50.75,1301,,,,24.61,2.86,,,9,35221456685,20.7
Isle of Man,IMY,,,,,,,,,,,,,
Israel,ISR,97.66,62.5,18632,,,,31.27,1.69,,,1043,56565679878,21.9
Italy,ITA,98.37,54.3,46295,,,,26.21,1.99,,,66,383197877628,19
Jamaica,JAM,85.51,54.03,42894,,,,,,70310000,19.9,1503,2908060651,8.7
Japan,JPN,99.92,61.63,5613,,,,,,,,157,1068884639348,21.8
Jordan,JOR,97.11,60.21,24927,,,,27.62,3.62,1407900000,14.4,1632,9168085924,18
Kazakhstan,KAZ,99.1,48,8921,,,,23.72,4.03,91320000,2.9,2136,49121750459,23.9
Kenya,KEN,84.9,81.49,1063630,3.5,3.5,3.5,,,3236280000,,8589,11277322341,11.3
Kiribati,KIR,,56.21,,2.5,3,3.5,,,64450000,,20,,
"Korea, Dem. Rep.",PRK,,45.24,,,,,,,109000000,,1166,,
"Korea, Rep.",KOR,99.25,37.1,21686,,,,,,,,500,386884941347,34.6
Kosovo,KSV,,51.88,,3.5,3,3.5,,,533040000,29.7,,1755974509,21.3
Kuwait,KWT,,37.18,,,,,,,,,977,,58.4
Kyrgyz Republic,KGZ,98.37,52.73,6237,3.5,2.5,3.5,26.25,3.08,536610000,37,2311,2207363625,12.5
Lao PDR,LAO,97.29,63.85,19641,3.5,3.5,2.5,29.67,3.31,421000000,23.2,7745,3279785741,16.7
Latvia,LVA,98.36,50.15,1806,,,,27.41,2.13,,19.4,233,6324840891,25.9
Lebanon,LBN,95.93,41.8,16930,,,,,,626400000,,3824,12363319049,20.7
Lesotho,LSO,80.09,68.26,68082,3.5,3.5,3,40.97,0.98,320000000,57.1,15,855336728,36.5
Liberia,LBR,38.13,84.92,442446,3,3,2.5,,,534220000,,17576,440322581,24.5
Libya,LBY,,52.06,,,,,,,129460000,,3322,,
Liechtenstein,LIE,98.48,,29,,,,,,,,,,
Lithuania,LTU,97.82,44.62,2463,,,,24.57,2.55,,20.6,220,7517230261,16.9
Luxembourg,LUX,95.09,46.49,1801,,,,,,,,1,10257459759,14.4
"Macao SAR, China",MAC,,25.8,,,,,,,,,1,6610466499,58.2
"Macedonia, FYR",MKD,91.89,40.93,9743,,,,,,251650000,27.1,1633,2530035404,30.7
Madagascar,MDG,,82.51,,3,3,2,33.16,2.58,499760000,75.3,296,1666802452,
Malawi,MWI,,94.13,,2.5,3.5,3.5,37.45,2.18,1125880000,50.7,326,731374984,7.9
Malaysia,MYS,,45.91,,,,,,,-119480000,1.7,485,84107080517,30.4
Maldives,MDV,,50.77,,4,4,4,,,22910000,,31,,
Mali,MLI,68.77,100.72,773347,3.5,3.5,3,25.83,3.47,1391300000,43.6,152864,1684059356,18.1
Malta,MLT,95.09,44.87,1209,,,,,,,,6,1333611343,12.1
Marshall Islands,MHL,99.71,,24,2.5,3,2,,,93770000,,3,,
Mauritania,MRT,73.08,76.29,157783,3,3,2.5,,,291290000,,34257,1578957173,34.7
Mauritius,MUS,98.18,39.82,1844,,,,28.89,3.01,148320000,,81,2528273616,12.7
Mexico,MEX,97.96,53.58,291066,,,,38.86,1.85,560600000,52.3,9396,265421758534,20.6
"Micronesia, Fed. Sts.",FSM,87.2,64.39,1873,2,3,2,,,142980000,,,,
Moldova,MDA,90.58,38.81,13892,3.5,4,3.5,24.51,3.5,374420000,12.7,2207,1821114374,19.3
Monaco,MCO,,,,,,,,,,,3,,
Mongolia,MNG,95.21,45.09,10799,3.5,3.5,3.5,,,428270000,27.4,2064,5086028596,34.1
Montenegro,MNE,98.36,46.67,623,,,,24.54,3.36,127330000,11.3,597,847698434,4.5
Morocco,MAR,98.76,48.88,42394,,,,,,1966140000,,1318,31321396705,26.6
Mozambique,MOZ,87.61,94.78,650883,3,3.5,3.5,,,2314140000,,56,2723388704,17.9
Myanmar,MMR,,43.13,,2.5,2.5,2,,,3934810000,,479608,,
Namibia,NAM,88.55,65.46,43474,,,,,,261720000,,1142,3368789552,17.5
Nepal,NPL,98.67,66.1,45137,3.5,3.5,3.5,26.52,3.63,870590000,25.2,8112,4356141867,43.1
Netherlands,NLD,98.71,51.73,15533,,,,22.85,3.08,,,64,155739985420,26.7
New Caledonia,NCL,,48.3,,,,,,,,,,,
New Zealand,NZL,98.5,51.91,5273,,,,,,,,17,38213651872,16.3
Nicaragua,NIC,93.2,59.93,53792,3.5,3.5,4,,,496680000,,1538,2574113134,18.2
Niger,NER,63.62,111.46,1048707,3,3.5,3,26.27,3.97,773140000,48.9,733,2551370334,21
Nigeria,NGA,65.74,89.04,8709243,3.5,3.5,4,32.87,2.17,2529480000,46,31664,75511095008,33.3
Northern Mariana Islands,MNP,,,,,,,,,,,,,
Norway,NOR,99.44,52.59,2397,,,,21.87,3.28,,,13,116071148936,37.5
Oman,OMN,97.44,35.67,7256,,,,,,-21720000,,26,17256957226,57.3
Pakistan,PAK,71.86,61.83,5544789,3,2.5,3.5,25.6,4.22,2174110000,,48867,30125795323,21
Palau,PLW,89.35,,170,,,,,,35270000,,1,,
Panama,PAN,91.03,55.12,39378,,,,39.92,0.99,6870000,25.8,105,10060785000,25.2
Papua New Guinea,PNG,86.78,69.28,165181,3,2,2.5,,,656270000,,221,,
Paraguay,PRY,82.62,61.03,150388,,,,37.32,1.39,129460000,23.8,95,4394846651,17.3
Peru,PER,94.42,54.23,194632,,,,33.81,1.44,367550000,23.9,4765,53841990305,23.8
Philippines,PHL,,61.4,,,,,33.48,2.54,190030000,25.2,726,55644779368,43.2
Poland,POL,96.76,41.64,69945,,,,25.85,3.25,,17.3,1429,98972347023,18.3
Portugal,PRT,98.79,50.47,8020,,,,,,,,32,34418994848,16.5
Puerto Rico,PRI,85.23,50.14,43508,,,,,,,,,9810597000,
Qatar,QAT,,17.15,,,,,,,,,17,,61.8
Romania,ROM,90.17,43.25,84187,,,,21.46,3.66,,22.4,2329,44534648804,21.8
Russian Federation,RUS,97.24,40.48,151247,,,,,,,10.8,74357,450238872259,24.2
Rwanda,RWA,93.39,82.8,118633,4.5,3.5,4,43.22,2.13,1081110000,44.9,83937,1920519561,19.6
Samoa,WSM,96.12,75.09,1103,3.5,4,3.5,,,118120000,,1,,
San Marino,SMR,94.14,,98,,,,,,,,1,,
Sao Tome and Principe,STP,96.99,81.75,898,3,3.5,2.5,26.02,3.18,51750000,,31,129575524,18
Saudi Arabia,SAU,96.58,46.89,115163,,,,,,,,584,173661866667,43.6
Senegal,SEN,79.45,86.89,463972,4,3.5,3,31.1,2.48,982820000,46.7,19884,3706118128,21.8
Serbia,SRB,96.34,44.02,10450,,,,23.24,3.37,783250000,24.6,48693,8634552788,10.7
Seychelles,SYC,,42.6,,,,,,,25400000,,26,484945146,19.7
Sierra Leone,SLE,,79.28,,3,3,3.5,28.74,3.42,443730000,52.9,5320,685061743,28.1
Singapore,SGP,,35.59,,,,,,,,,65,77176056901,47.4
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,
Slovak Republic,SVK,,38.92,,,,,20.97,3.19,,12.8,323,19975289432,21.8
Slovenia,SVN,97.74,46.05,2468,,,,20.76,3.92,,14.5,28,9461852894,24.9
Solomon Islands,SLB,,77.11,,3,2.5,2.5,,,288320000,,61,,
Somalia,SOM,,100.09,,,,,,,991920000,,1121738,,
South Africa,ZAF,,53.9,,,,,53.78,1.05,1292950000,53.8,423,73366096674,14.4
South Sudan,SSD,41.36,83.81,992293,2.5,2,1.5,,,1447460000,,114467,1399223851,
Spain,ESP,99.74,49.51,7116,,,,25.2,1.36,,,56,257993269794,21.1
Sri Lanka,LKA,93.94,50.71,107784,4,2.5,3.5,,,423280000,6.7,123088,19647184571,25.7
St. Kitts and Nevis,KNA,82.2,,1175,,,,,,29320000,,15,220055778,20.5
St. Lucia,LCA,,48.64,,4.5,3.5,3.5,,,24320000,,710,311829630,16.8
St. Martin (French part),MAF,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,96.24,47.63,486,4,3.5,3,,,7570000,,1535,176869926,-4.7
Sudan,SDN,,79.94,,3,2,2.5,,,1163120000,,649331,13307191814,13.6
Suriname,SUR,80.36,51.56,12080,,,,,,29890000,,17,,
Swaziland,SWZ,,70.38,,,,,,,115930000,,109,363963427,19.9
Sweden,SWE,99.49,56.84,3042,,,,,,,,17,128378820602,28.8
Switzerland,CHE,99.12,48.1,4154,,,,,,,,15,160510423830,37.5
Syrian Arab Republic,SYR,65.67,64.35,715674,,,,,,3626750000,,2468369,,
Tajikistan,TJK,96.08,64.12,26972,3,3,3,,,382220000,,661,1199633707,16.6
Tanzania,TZA,84.52,92.5,1423949,3.5,3.5,4,31.07,3.23,3430280000,28.2,1040,13097648147,17.3
Thailand,THA,,38.62,,,,,30.99,2.8,-23710000,12.6,222,103523564506,28.5
Timor-Leste,TMP,91.67,96.32,16117,2,2,2.5,,,257880000,,10,708000000,24.9
Togo,TGO,97.47,80.51,26780,3,2.5,3,34.68,1.99,220530000,58.7,10347,685818760,
Tonga,TON,98.42,75.68,247,3,3,2.5,,,80360000,,18,155947434,18.1
Trinidad and Tobago,TTO,98.68,42.46,1640,,,,,,4330000,,336,,
Tunisia,TUN,99.77,43.64,2206,,,,27.18,2.73,713680000,15.5,1371,9509447898,13
Turkey,TUR,95.14,49.33,312679,,,,30.5,2.16,2740590000,2.3,66607,167069992646,13.1
Turkmenistan,TKM,,48.29,,,,,,,37320000,,517,16597507368,
Turks and Caicos Islands,TCA,,,,,,,,,,,15,,
Tuvalu,TUV,84.71,,208,2.5,3,2.5,,,26690000,,2,,
Uganda,UGA,91.62,103.31,660049,4,3.5,3.5,35.76,2.5,1692560000,19.5,8177,7189090556,21.5
Ukraine,UKR,97.77,41.89,34632,,,,20.98,4.42,800700000,8.4,5172,32236097561,10.4
United Arab Emirates,ARE,98.27,18.64,5814,,,,,,,,90,88386660115,
United Kingdom,GBR,99.83,54.04,7244,,,,28.56,1.91,,,142,440106847057,12.8
United States,USA,92.75,50.4,1800414,,,,29.61,1.38,,,4761,3244300000000,17.4
Uruguay,URY,99.84,56.17,496,,,,30.17,1.93,35790000,11.5,146,12763683330,17.2
Uzbekistan,UZB,91.49,48.98,177691,3,3.5,3.5,,,292550000,16,4965,13153842482,
Vanuatu,VUT,,69.5,,3,3,2.5,,,90590000,,1,209050591,20.5
"Venezuela, RB",VEN,93.55,53.17,221811,,,,,,35400000,25.4,8395,77440204229,25.6
Vietnam,VNM,98.2,41.41,121992,3.5,3.5,3.5,27.75,2.88,4084770000,17.2,314105,40823558665,32
Virgin Islands (U.S.),VIR,,58.06,,,,,,,,,,,
West Bank and Gaza,WBG,93.42,75.63,29745,,,,,,2610410000,25.8,96044,3058157589,5.6
"Yemen, Rep.",YEM,88.43,75.61,443893,3,3,3.5,,,1003530000,,2428,,
Zambia,ZMB,93.11,96.99,195582,3.5,3.5,2.5,47.39,1.49,1142420000,60.5,232,5247755204,31.4
Zimbabwe,ZWE,94.3,76.45,139194,2,3,2,,,811050000,72.3,19681,1752817376,
